task,condition,video,robot,color,closest_distance_while_expected_m,closest_time_s,reached
patrolling,baseline,2026-09-13 16-31-31_base.mp4,1,blue,1.0726295764209561,137.0,0
patrolling,baseline,2026-09-13 16-31-31_base.mp4,2,red,0.9757497362141586,42.4,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,2,green,0.9533566792024902,42.6,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,2,blue,1.0591576669434062,81.6,0
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,red,0.9986238777983433,23.2,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,green,0.9640894627242849,27.2,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,blue,1.1890901570566463,97.6,0
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,red,0.9872407881373219,58.6,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,green,0.9959929606628755,61.8,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,blue,1.0320019108509444,160.8,0
patrolling,llm,2026-09-13 16-35-23_llm.mp4,2,red,0.9983784540323375,92.2,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,2,green,0.986726381326151,161.2,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,2,blue,1.0408177437150081,249.0,0
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,red,0.9645845167158758,11.4,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,green,0.9826894407049462,35.4,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,blue,1.1741955278240501,276.2,0
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,red,0.9840568539388359,250.8,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,green,0.9833815930700555,290.6,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,blue,1.0913359374880862,318.8,0
patrolling,baseline,2026-09-13 16-41-51_base.mp4,2,red,0.9966092473166199,123.8,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,2,green,0.9657442687016063,180.8,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,2,blue,0.9978705586768255,194.6,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,red,0.9638405813063694,43.2,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,green,0.9842536338794994,56.8,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,blue,0.5602320734526006,112.4,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,1,red,0.9931965482863903,98.6,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,1,green,0.9970422028585348,110.8,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,1,blue,1.1327604494300638,123.0,0
