time_s,robot_0_detected,robot_1_detected,robot_2_detected
86.6,1,1,0
86.8,1,1,1
87.0,1,1,0
87.2,1,1,1
87.4,1,1,1
87.6,1,1,1
87.8,1,1,0
88.0,1,1,1
88.2,1,1,1
88.4,1,1,1
88.6,1,1,1
88.8,1,1,1
89.0,1,1,1
89.2,1,1,1
89.4,1,1,1
89.6,1,1,1
89.8,1,1,1
90.0,1,1,1
90.2,1,1,1
90.4,1,1,1
90.6,1,1,1
90.8,1,1,1
91.0,1,1,1
91.2,1,1,1
91.4,1,1,1
91.6,1,1,1
91.8,1,1,1
92.0,1,1,1
92.2,1,1,1
92.4,1,1,0
92.6,1,1,1
92.8,1,1,1
93.0,1,1,0
93.2,1,1,1
93.4,1,1,1
93.6,1,1,1
93.8,1,1,1
94.0,1,1,1
94.2,1,1,1
94.4,1,1,1
94.6,1,1,1
94.8,1,1,1
95.0,1,1,1
95.2,1,1,1
95.4,1,1,1
95.6,1,1,1
95.8,1,1,1
96.0,1,1,1
96.2,1,1,0
96.4,1,1,1
96.6,1,1,1
96.8,1,1,1
97.0,1,1,1
97.2,1,1,1
97.4,1,1,0
97.6,1,1,0
97.8,1,1,1
98.0,1,1,1
98.2,1,1,0
98.4,1,1,1
98.6,1,1,1
98.8,1,1,1
99.0,1,1,1
99.2,1,1,1
99.4,1,1,1
99.6,1,1,1
99.8,1,1,1
100.0,1,1,1
100.2,1,1,1
100.4,1,1,1
100.6,1,1,1
100.8,1,1,1
101.0,1,1,0
101.2,1,1,1
101.4,1,1,1
101.6,1,1,1
101.8,1,1,1
102.0,1,1,1
102.2,1,1,1
102.4,1,1,1
102.6,1,1,1
102.8,1,1,1
103.0,1,1,1
103.2,1,1,1
103.4,1,1,1
103.6,1,1,1
103.8,1,1,1
104.0,1,1,1
104.2,1,1,1
104.4,1,1,1
104.6,1,1,1
104.8,1,1,1
105.0,1,1,1
105.2,1,1,1
105.4,1,1,1
105.6,1,1,1
105.8,1,1,1
106.0,1,1,1
106.2,1,1,1
106.4,1,1,1
106.6,1,1,1
106.8,1,1,1
107.0,1,1,1
107.2,1,1,1
107.4,1,1,1
107.6,1,1,1
107.8,1,1,1
108.0,1,1,1
108.2,1,1,1
108.4,1,1,1
108.6,1,1,1
108.8,1,1,1
109.0,1,1,0
109.2,1,1,0
109.4,1,1,1
109.6,1,1,1
109.8,1,1,1
110.0,1,1,1
110.2,1,1,1
110.4,1,1,1
110.6,0,1,1
110.8,0,1,1
111.0,0,1,1
111.2,0,1,1
111.4,0,1,1
111.6,0,1,1
111.8,0,1,1
112.0,0,1,1
112.2,0,1,1
112.4,1,1,1
112.6,1,1,1
112.8,0,1,1
113.0,0,1,0
113.2,0,1,0
113.4,0,1,0
113.6,0,1,0
113.8,0,1,1
114.0,0,1,1
114.2,0,1,1
114.4,0,1,1
114.6,0,1,1
114.8,0,1,1
115.0,0,1,1
115.2,0,1,1
115.4,0,1,1
115.6,0,1,1
115.8,0,1,1
116.0,0,1,1
116.2,0,1,1
116.4,0,1,1
116.6,0,1,1
116.8,0,1,1
117.0,0,1,1
117.2,0,1,1
117.4,0,1,1
117.6,0,1,1
117.8,0,1,1
118.0,0,1,1
118.2,0,1,1
118.4,0,1,1
118.6,0,1,1
118.8,0,1,1
119.0,0,1,1
119.2,0,1,1
119.4,0,1,1
119.6,0,1,1
119.8,0,1,1
120.0,0,1,1
120.2,0,1,1
120.4,0,1,1
120.6,0,1,1
120.8,0,1,1
121.0,0,1,1
121.2,0,1,1
121.4,0,1,1
121.6,0,1,1
121.8,0,1,1
122.0,0,1,1
122.2,0,1,1
122.4,0,1,1
122.6,0,1,1
122.8,0,1,1
123.0,0,1,1
123.2,0,1,1
123.4,0,1,1
123.6,0,1,1
123.8,0,1,1
124.0,0,1,1
124.2,0,1,1
124.4,0,1,1
124.6,0,1,1
124.8,0,1,1
125.0,0,1,1
125.2,0,1,1
125.4,0,1,1
125.6,0,1,1
125.8,0,1,1
126.0,0,1,1
126.2,0,1,1
126.4,0,1,1
126.6,0,1,1
126.8,0,1,0
127.0,0,1,1
127.2,0,1,1
127.4,0,1,1
127.6,0,1,0
127.8,0,1,1
128.0,0,1,1
128.2,0,1,1
128.4,0,1,1
128.6,0,1,1
128.8,0,1,1
129.0,0,1,1
129.2,0,1,1
129.4,0,1,1
129.6,0,1,1
129.8,0,1,1
