stamp_sec,stamp_nsec,robot,x,y,elapsed_s
19,200000000,robot_2,3.770789,1.635654,19.2
19,400000000,robot_0,2.206132,0.589473,19.4
19,400000000,robot_1,1.899054,2.045438,19.4
19,400000000,robot_2,3.769249,1.640033,19.4
19,600000000,robot_0,2.209642,0.60383,19.6
19,600000000,robot_1,1.863718,2.064447,19.6
19,600000000,robot_2,3.761034,1.654566,19.6
19,800000000,robot_0,2.211559,0.615669,19.8
19,800000000,robot_1,1.831789,2.076394,19.8
19,800000000,robot_2,3.757439,1.652183,19.8
20,0,robot_0,2.209796,0.629918,20.0
20,0,robot_1,1.796066,2.082639,20.0
20,0,robot_2,3.751842,1.660049,20.0
20,200000000,robot_0,2.205438,0.640978,20.2
20,200000000,robot_1,1.744266,2.099371,20.2
20,200000000,robot_2,3.741494,1.671287,20.2
20,400000000,robot_0,2.202793,0.652438,20.4
20,400000000,robot_1,1.681457,2.119164,20.4
20,400000000,robot_2,3.727897,1.679419,20.4
20,600000000,robot_0,2.193943,0.657632,20.6
20,600000000,robot_1,1.642916,2.127572,20.6
20,600000000,robot_2,3.722396,1.678922,20.6
20,800000000,robot_0,2.185796,0.661431,20.8
20,800000000,robot_1,1.63052,2.122355,20.8
20,800000000,robot_2,3.718068,1.679626,20.8
21,0,robot_0,2.17486,0.667672,21.0
21,0,robot_1,1.629281,2.116104,21.0
21,0,robot_2,3.713605,1.684303,21.0
21,200000000,robot_0,2.162105,0.670748,21.2
21,200000000,robot_1,1.608307,2.099862,21.2
21,200000000,robot_2,3.703553,1.686132,21.2
21,400000000,robot_0,2.150808,0.669474,21.4
21,400000000,robot_1,1.569155,2.088481,21.4
21,400000000,robot_2,3.685469,1.711418,21.4
21,600000000,robot_0,2.138167,0.669513,21.6
21,600000000,robot_1,1.543906,2.074172,21.6
21,600000000,robot_2,3.663792,1.748373,21.6
21,800000000,robot_0,2.138558,0.669856,21.8
21,800000000,robot_1,1.50523,2.053277,21.8
21,800000000,robot_2,3.642514,1.772872,21.8
22,0,robot_0,2.135606,0.670884,22.0
22,0,robot_1,1.476191,2.034434,22.0
22,0,robot_2,3.611669,1.813097,22.0
22,200000000,robot_0,2.118511,0.673306,22.2
22,200000000,robot_1,1.46992,2.020913,22.2
22,200000000,robot_2,3.590552,1.833318,22.2
22,400000000,robot_0,2.094331,0.67209,22.4
22,400000000,robot_1,1.457153,1.995155,22.4
22,400000000,robot_2,3.581587,1.837267,22.4
22,600000000,robot_0,2.076845,0.674924,22.6
22,600000000,robot_1,1.427864,1.961404,22.6
22,600000000,robot_2,3.558922,1.844659,22.6
22,800000000,robot_0,2.069968,0.664078,22.8
22,800000000,robot_1,1.416746,1.942089,22.8
22,800000000,robot_2,3.530644,1.859645,22.8
23,0,robot_0,2.066551,0.653341,23.0
23,0,robot_1,1.420843,1.926863,23.0
23,0,robot_2,3.528358,1.865448,23.0
23,200000000,robot_0,2.061502,0.640675,23.2
23,200000000,robot_1,1.41041,1.893195,23.2
23,200000000,robot_2,3.513338,1.866513,23.2
23,400000000,robot_0,2.025085,0.618568,23.4
23,400000000,robot_1,1.411314,1.870093,23.4
23,400000000,robot_2,3.474393,1.8731,23.4
23,600000000,robot_0,1.987043,0.595616,23.6
23,600000000,robot_1,1.41924,1.860931,23.6
23,600000000,robot_2,3.453127,1.875081,23.6
23,800000000,robot_0,1.975762,0.581991,23.8
23,800000000,robot_1,1.423331,1.823177,23.8
23,800000000,robot_2,3.441076,1.872677,23.8
24,0,robot_0,1.974934,0.568063,24.0
24,0,robot_1,1.422282,1.760899,24.0
24,0,robot_2,3.407543,1.864285,24.0
24,200000000,robot_0,1.980475,0.558832,24.2
24,200000000,robot_1,1.421712,1.6929,24.2
24,200000000,robot_2,3.352154,1.858746,24.2
24,400000000,robot_0,1.987066,0.550176,24.4
24,400000000,robot_1,1.417332,1.62011,24.4
24,400000000,robot_2,3.288143,1.848514,24.4
24,600000000,robot_0,1.995256,0.542007,24.6
24,600000000,robot_1,1.418839,1.580057,24.6
24,600000000,robot_2,3.218649,1.838125,24.6
24,800000000,robot_0,2.003889,0.537793,24.8
24,800000000,robot_1,1.428889,1.544118,24.8
24,800000000,robot_2,3.175252,1.829172,24.8
25,0,robot_0,2.014462,0.537254,25.0
25,0,robot_1,1.436218,1.492816,25.0
25,0,robot_2,3.128051,1.810092,25.0
25,200000000,robot_0,2.024251,0.537546,25.2
25,200000000,robot_1,1.445436,1.47254,25.2
25,200000000,robot_2,3.083146,1.79681,25.2
25,400000000,robot_0,2.040096,0.539629,25.4
25,400000000,robot_1,1.45618,1.468892,25.4
25,400000000,robot_2,3.06555,1.777262,25.4
25,600000000,robot_0,2.049597,0.545452,25.6
25,600000000,robot_1,1.469321,1.469333,25.6
25,600000000,robot_2,3.065529,1.76086,25.6
25,800000000,robot_0,2.063614,0.549999,25.8
25,800000000,robot_1,1.500323,1.440849,25.8
25,800000000,robot_2,3.062932,1.736049,25.8
26,0,robot_0,2.07203,0.559694,26.0
26,0,robot_1,1.522445,1.42128,26.0
26,0,robot_2,3.032057,1.698905,26.0
26,200000000,robot_0,2.078562,0.570736,26.2
26,200000000,robot_1,1.550351,1.403385,26.2
26,200000000,robot_2,3.01961,1.674974,26.2
26,400000000,robot_0,2.081934,0.576656,26.4
26,400000000,robot_1,1.584751,1.37313,26.4
26,400000000,robot_2,3.019664,1.663604,26.4
26,600000000,robot_0,2.086185,0.590753,26.6
26,600000000,robot_1,1.612118,1.36339,26.6
26,600000000,robot_2,3.025066,1.659489,26.6
26,800000000,robot_0,2.086286,0.605203,26.8
26,800000000,robot_1,1.654198,1.341953,26.8
26,800000000,robot_2,3.030308,1.657528,26.8
27,0,robot_0,2.08342,0.617201,27.0
27,0,robot_1,1.687483,1.328725,27.0
27,0,robot_2,3.03417,1.659564,27.0
27,200000000,robot_0,2.077263,0.630788,27.2
27,200000000,robot_1,1.701334,1.333824,27.2
27,200000000,robot_2,3.042814,1.658029,27.2
27,400000000,robot_0,2.069206,0.638481,27.4
27,400000000,robot_1,1.705105,1.342783,27.4
27,400000000,robot_2,3.05713,1.660444,27.4
27,600000000,robot_0,2.0686,0.638292,27.6
27,600000000,robot_1,1.707842,1.353625,27.6
27,600000000,robot_2,3.076862,1.659688,27.6
27,800000000,robot_0,2.068915,0.640619,27.8
27,800000000,robot_1,1.710351,1.36732,27.8
27,800000000,robot_2,3.093606,1.666004,27.8
28,0,robot_0,2.06973,0.63461,28.0
28,0,robot_1,1.707695,1.377945,28.0
28,0,robot_2,3.105207,1.672525,28.0
28,200000000,robot_0,2.06792,0.639079,28.2
28,200000000,robot_1,1.70484,1.389789,28.2
28,200000000,robot_2,3.110867,1.678601,28.2
28,400000000,robot_0,2.06167,0.649718,28.4
28,400000000,robot_1,1.699229,1.401748,28.4
28,400000000,robot_2,3.114036,1.681623,28.4
28,600000000,robot_0,2.054378,0.656103,28.6
28,600000000,robot_1,1.691927,1.409793,28.6
28,600000000,robot_2,3.114836,1.686668,28.6
28,800000000,robot_0,2.046101,0.661681,28.8
28,800000000,robot_1,1.685416,1.419218,28.8
28,800000000,robot_2,3.119146,1.695577,28.8
29,0,robot_0,2.032798,0.663163,29.0
29,0,robot_1,1.678209,1.424843,29.0
29,0,robot_2,3.12089,1.706047,29.0
29,200000000,robot_0,2.01883,0.663997,29.2
29,200000000,robot_1,1.66949,1.424096,29.2
29,200000000,robot_2,3.122509,1.725503,29.2
29,400000000,robot_0,2.006699,0.65933,29.4
29,400000000,robot_1,1.659227,1.42643,29.4
29,400000000,robot_2,3.123518,1.743615,29.4
29,600000000,robot_0,1.993536,0.653446,29.6
29,600000000,robot_1,1.650401,1.426083,29.6
29,600000000,robot_2,3.12258,1.757166,29.6
29,800000000,robot_0,1.979471,0.648549,29.8
29,800000000,robot_1,1.639588,1.423843,29.8
29,800000000,robot_2,3.116862,1.761519,29.8
30,0,robot_0,1.969692,0.635066,30.0
30,0,robot_1,1.630469,1.419457,30.0
30,0,robot_2,3.12613,1.774116,30.0
30,200000000,robot_0,1.966199,0.626149,30.2
30,200000000,robot_1,1.621695,1.415242,30.2
30,200000000,robot_2,3.158589,1.811109,30.2
30,400000000,robot_0,1.961497,0.613428,30.4
30,400000000,robot_1,1.615164,1.407588,30.4
30,400000000,robot_2,3.17367,1.834048,30.4
30,600000000,robot_0,1.961387,0.596093,30.6
30,600000000,robot_1,1.607174,1.404412,30.6
30,600000000,robot_2,3.175195,1.843224,30.6
30,800000000,robot_0,1.96125,0.584284,30.8
