stamp_sec,stamp_nsec,robot,x,y,elapsed_s
12,600000000,robot_0,3.714814,0.278193,12.6
12,600000000,robot_1,2.996976,0.356288,12.6
12,600000000,robot_2,0.25084,1.343819,12.6
12,800000000,robot_0,3.720097,0.289447,12.8
12,800000000,robot_1,2.996372,0.367118,12.8
12,800000000,robot_2,0.286661,1.380241,12.8
13,0,robot_0,3.724176,0.302404,13.0
13,0,robot_1,2.992667,0.376772,13.0
13,0,robot_2,0.333888,1.429791,13.0
13,200000000,robot_0,3.727024,0.3138,13.2
13,200000000,robot_1,2.989301,0.384703,13.2
13,200000000,robot_2,0.374188,1.469918,13.2
13,400000000,robot_0,3.722007,0.326561,13.4
13,400000000,robot_1,2.982786,0.395585,13.4
13,400000000,robot_2,0.433897,1.532508,13.4
13,600000000,robot_0,3.723233,0.337986,13.6
13,600000000,robot_1,2.975166,0.403967,13.6
13,600000000,robot_2,0.481101,1.588388,13.6
13,800000000,robot_0,3.718876,0.3449,13.8
13,800000000,robot_1,2.968906,0.40724,13.8
13,800000000,robot_2,0.532767,1.641989,13.8
14,0,robot_0,3.707726,0.352986,14.0
14,0,robot_1,2.960621,0.409954,14.0
14,0,robot_2,0.580282,1.695605,14.0
14,200000000,robot_0,3.703993,0.35733,14.2
14,200000000,robot_1,2.951704,0.413323,14.2
14,200000000,robot_2,0.620386,1.740622,14.2
14,400000000,robot_0,3.702502,0.357809,14.4
14,400000000,robot_1,2.94235,0.409406,14.4
14,400000000,robot_2,0.669851,1.793044,14.4
14,600000000,robot_0,3.703333,0.35743,14.6
14,600000000,robot_1,2.933173,0.411363,14.6
14,600000000,robot_2,0.726448,1.85809,14.6
14,800000000,robot_0,3.698479,0.374869,14.8
14,800000000,robot_1,2.926943,0.41754,14.8
14,800000000,robot_2,0.775415,1.912464,14.8
15,0,robot_0,3.698268,0.418783,15.0
15,0,robot_1,2.907202,0.460672,15.0
15,0,robot_2,0.822094,1.9664,15.0
15,200000000,robot_0,3.701277,0.469929,15.2
15,200000000,robot_1,2.884339,0.509696,15.2
15,200000000,robot_2,0.866874,2.011038,15.2
15,400000000,robot_0,3.70152,0.539353,15.4
15,400000000,robot_1,2.855398,0.572367,15.4
15,400000000,robot_2,0.913781,2.064819,15.4
15,600000000,robot_0,3.706279,0.626743,15.6
15,600000000,robot_1,2.818881,0.647309,15.6
15,600000000,robot_2,0.969801,2.128091,15.6
15,800000000,robot_0,3.706739,0.695827,15.8
15,800000000,robot_1,2.789341,0.710023,15.8
15,800000000,robot_2,1.019151,2.180285,15.8
16,0,robot_0,3.706924,0.768384,16.0
16,0,robot_1,2.757483,0.773724,16.0
16,0,robot_2,1.068086,2.237785,16.0
16,200000000,robot_0,3.707817,0.828437,16.2
16,200000000,robot_1,2.730589,0.829046,16.2
16,200000000,robot_2,1.108304,2.283061,16.2
16,400000000,robot_0,3.708902,0.90291,16.4
16,400000000,robot_1,2.696734,0.892453,16.4
16,400000000,robot_2,1.157333,2.340816,16.4
16,600000000,robot_0,3.708105,0.981083,16.6
16,600000000,robot_1,2.655309,0.970922,16.6
16,600000000,robot_2,1.213827,2.404333,16.6
16,800000000,robot_0,3.708053,1.059379,16.8
