stamp_sec,stamp_nsec,robot,x,y,elapsed_s
53,400000000,robot_2,3.382854,1.386055,53.4
53,600000000,robot_0,1.780657,1.530263,53.6
53,600000000,robot_1,0.915653,2.457312,53.6
53,600000000,robot_2,3.374434,1.384332,53.6
53,800000000,robot_0,1.75858,1.523682,53.8
53,800000000,robot_1,0.917587,2.446612,53.8
53,800000000,robot_2,3.36617,1.379351,53.8
54,0,robot_0,1.733088,1.509123,54.0
54,0,robot_1,0.921007,2.43459,54.0
54,0,robot_2,3.36471,1.375717,54.0
54,200000000,robot_0,1.694761,1.490059,54.2
54,200000000,robot_1,0.925601,2.42761,54.2
54,200000000,robot_2,3.363145,1.365495,54.2
54,400000000,robot_0,1.641353,1.467716,54.4
54,400000000,robot_1,0.932724,2.417305,54.4
54,400000000,robot_2,3.357386,1.358415,54.4
54,600000000,robot_0,1.579049,1.44122,54.6
54,600000000,robot_1,0.942698,2.407629,54.6
54,600000000,robot_2,3.356671,1.350787,54.6
54,800000000,robot_0,1.51616,1.414825,54.8
54,800000000,robot_1,0.954566,2.400782,54.8
54,800000000,robot_2,3.357874,1.344815,54.8
55,0,robot_0,1.453084,1.384305,55.0
55,0,robot_1,0.960451,2.4,55.0
55,0,robot_2,3.355593,1.344769,55.0
55,200000000,robot_0,1.401782,1.365628,55.2
55,200000000,robot_1,0.964262,2.398748,55.2
55,200000000,robot_2,3.313835,1.336917,55.2
55,400000000,robot_0,1.353691,1.346644,55.4
55,400000000,robot_1,0.971097,2.400092,55.4
55,400000000,robot_2,3.270274,1.326477,55.4
55,600000000,robot_0,1.312556,1.328143,55.6
55,600000000,robot_1,0.980284,2.397038,55.6
55,600000000,robot_2,3.256426,1.31413,55.6
55,800000000,robot_0,1.268801,1.311298,55.8
55,800000000,robot_1,0.995218,2.393963,55.8
55,800000000,robot_2,3.256307,1.306199,55.8
56,0,robot_0,1.22062,1.29493,56.0
56,0,robot_1,1.019233,2.358722,56.0
56,0,robot_2,3.245711,1.286334,56.0
56,200000000,robot_0,1.16556,1.275384,56.2
56,200000000,robot_1,1.046263,2.306553,56.2
56,200000000,robot_2,3.207266,1.249256,56.2
56,400000000,robot_0,1.164409,1.275589,56.4
56,400000000,robot_1,1.073367,2.252109,56.4
56,400000000,robot_2,3.164549,1.200729,56.4
56,600000000,robot_0,1.189808,1.283293,56.6
56,600000000,robot_1,1.092728,2.234139,56.6
56,600000000,robot_2,3.116333,1.148808,56.6
56,800000000,robot_0,1.229383,1.295855,56.8
56,800000000,robot_1,1.103397,2.236567,56.8
56,800000000,robot_2,3.066336,1.100818,56.8
57,0,robot_0,1.272937,1.310338,57.0
57,0,robot_1,1.113516,2.245336,57.0
57,0,robot_2,3.035673,1.07023,57.0
57,200000000,robot_0,1.317774,1.323531,57.2
57,200000000,robot_1,1.119186,2.252099,57.2
57,200000000,robot_2,3.020177,1.055849,57.2
57,400000000,robot_0,1.359864,1.338843,57.4
57,400000000,robot_1,1.124502,2.26339,57.4
57,400000000,robot_2,2.995709,1.035187,57.4
57,600000000,robot_0,1.402774,1.356332,57.6
57,600000000,robot_1,1.124745,2.271097,57.6
57,600000000,robot_2,2.952514,0.994618,57.6
57,800000000,robot_0,1.4483,1.367599,57.8
57,800000000,robot_1,1.126408,2.280447,57.8
57,800000000,robot_2,2.911178,0.957135,57.8
58,0,robot_0,1.468909,1.371363,58.0
58,0,robot_1,1.126295,2.290138,58.0
58,0,robot_2,2.887727,0.93391,58.0
58,200000000,robot_0,1.480128,1.372981,58.2
58,200000000,robot_1,1.120814,2.298407,58.2
58,200000000,robot_2,2.881745,0.920992,58.2
58,400000000,robot_0,1.4823,1.365991,58.4
58,400000000,robot_1,1.118307,2.305026,58.4
58,400000000,robot_2,2.887397,0.913489,58.4
58,600000000,robot_0,1.487156,1.357822,58.6
58,600000000,robot_1,1.117686,2.312213,58.6
58,600000000,robot_2,2.88693,0.890779,58.6
58,800000000,robot_0,1.487472,1.353505,58.8
58,800000000,robot_1,1.110469,2.317048,58.8
58,800000000,robot_2,2.874344,0.840193,58.8
59,0,robot_0,1.494282,1.352659,59.0
59,0,robot_1,1.097131,2.323147,59.0
59,0,robot_2,2.856715,0.781548,59.0
59,200000000,robot_0,1.497425,1.348147,59.2
59,200000000,robot_1,1.092546,2.32866,59.2
59,200000000,robot_2,2.85583,0.746988,59.2
59,400000000,robot_0,1.504215,1.349252,59.4
59,400000000,robot_1,1.081704,2.327404,59.4
59,400000000,robot_2,2.860737,0.736509,59.4
59,600000000,robot_0,1.511531,1.348372,59.6
59,600000000,robot_1,1.070677,2.32805,59.6
59,600000000,robot_2,2.87086,0.696388,59.6
59,800000000,robot_0,1.512776,1.34461,59.8
59,800000000,robot_1,1.061137,2.326486,59.8
59,800000000,robot_2,2.87758,0.633188,59.8
60,0,robot_0,1.51413,1.320238,60.0
60,0,robot_1,1.05076,2.320259,60.0
60,0,robot_2,2.887048,0.570502,60.0
60,200000000,robot_0,1.51415,1.280025,60.2
60,200000000,robot_1,1.0399,2.316504,60.2
60,200000000,robot_2,2.895982,0.535781,60.2
60,400000000,robot_0,1.517874,1.230882,60.4
60,400000000,robot_1,1.03148,2.310009,60.4
60,400000000,robot_2,2.914692,0.493176,60.4
60,600000000,robot_0,1.522027,1.181859,60.6
60,600000000,robot_1,1.026498,2.302041,60.6
60,600000000,robot_2,2.930348,0.454244,60.6
60,800000000,robot_0,1.525058,1.134944,60.8
60,800000000,robot_1,1.024389,2.291137,60.8
60,800000000,robot_2,2.94375,0.44375,60.8
61,0,robot_0,1.53111,1.087938,61.0
61,0,robot_1,1.021719,2.290403,61.0
61,0,robot_2,2.956192,0.442945,61.0
61,200000000,robot_0,1.535922,1.036993,61.2
61,200000000,robot_1,0.997321,2.294809,61.2
61,200000000,robot_2,2.9664,0.447636,61.2
61,400000000,robot_0,1.537817,0.989463,61.4
61,400000000,robot_1,0.950688,2.305667,61.4
61,400000000,robot_2,2.969836,0.455053,61.4
61,600000000,robot_0,1.542233,0.941874,61.6
61,600000000,robot_1,0.927539,2.302506,61.6
61,600000000,robot_2,2.974248,0.462806,61.6
61,800000000,robot_0,1.547538,0.89263,61.8
61,800000000,robot_1,0.920697,2.291604,61.8
61,800000000,robot_2,2.981153,0.473602,61.8
62,0,robot_0,1.550936,0.842561,62.0
62,0,robot_1,0.915046,2.276533,62.0
62,0,robot_2,2.98197,0.481803,62.0
62,200000000,robot_0,1.554458,0.794607,62.2
62,200000000,robot_1,0.875915,2.25666,62.2
62,200000000,robot_2,2.984264,0.491078,62.2
62,400000000,robot_0,1.55875,0.742453,62.4
62,400000000,robot_1,0.846907,2.238443,62.4
62,400000000,robot_2,2.981664,0.49916,62.4
62,600000000,robot_0,1.56557,0.697074,62.6
62,600000000,robot_1,0.819566,2.215792,62.6
62,600000000,robot_2,2.978752,0.505417,62.6
62,800000000,robot_0,1.57064,0.650551,62.8
